group,event_id,feature,row_count,count,missing_count,missing_rate,mean,median,std,min,p01,p05,p25,p75,p95,p99,max,abnormal_note
event,EVT_2019_FLOOD,aspect,120890,120890,0,0.0,183.17454296333057,182.48427853608166,102.40879854337699,0.0020003239677635065,3.292067360772381,17.464327786143624,99.56040438358471,269.7017215826375,343.6818610490121,356.7154905828276,359.9990195982158,ok
event,EVT_2019_FLOOD,curvature,120890,120890,0,0.0,-5.507666869387243e-05,5.174129097550003e-05,0.0011892861953783829,-0.0320848971237371,-0.0036279112686345605,-0.0016408197791488084,-0.00015801700544945983,0.00030614767545535245,0.0011271123238551749,0.0020985792489699386,0.006502770317925347,ok
event,EVT_2019_FLOOD,flow_accumulation,120890,0,120890,1.0,,,,,,,,,,,,all_missing
event,EVT_2019_FLOOD,distance_to_stream,120890,120890,0,0.0,509.19655149121024,393.2348825051281,460.83283817903725,0.0,0.0,2.806288162504811,160.4864181005857,730.5310195534673,1405.088076034591,2118.6345471576433,3188.6219423539483,ok
event,EVT_2019_FLOOD,distance_to_flood_trace_m,120890,120890,0,0.0,7025.052699881354,6426.537438562542,3944.003952068016,0.0,646.6632649160154,1558.8059427490216,4144.14776710902,9344.16913491039,14670.487211020121,18657.052180268227,21430.122895075245,ok
event,EVT_2019_FLOOD,flood_overlap_area,120890,120890,0,0.0,0.05683973550842551,0.0,9.436359796596681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2816.0384636235963,ok
event,EVT_2019_FLOOD,flood_overlap_ratio,120890,120890,0,0.0,7.017251297336483e-06,0.0,0.0011649826909378622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34765906958316,ok
event,EVT_2019_FLOOD,x_coord,120890,120890,0,0.0,197971.0,197971.0,10002.601043161278,180691.0,180961.0,182401.0,189331.0,206611.0,213541.0,214981.0,215251.0,ok
event,EVT_2019_FLOOD,y_coord,120890,120890,0,0.0,551483.0,551483.0,8157.951674191923,537398.0,537668.0,538748.0,544418.0,558548.0,564218.0,565298.0,565568.0,ok
event,EVT_2019_FLOOD,centroid_lat,120890,120890,0,0.0,37.562822796147465,37.56277862978219,0.0735027297936578,37.43577168882506,37.43828600745215,37.448122274737415,37.49918342210148,37.62649383113502,37.67754018972877,37.6873478174619,37.68978375871528,ok
event,EVT_2019_FLOOD,centroid_lon,120890,120890,0,0.0,126.9770348659268,126.97703484529559,0.11321410501493476,126.78108071017549,126.7847657950743,126.80063820109926,126.87914089509016,127.07488987202161,127.15339287321022,127.16935908340976,127.17291119660149,ok
event,EVT_2019_FLOOD,grid_size_m,120890,120890,0,0.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,ok
event,EVT_2019_FLOOD,grid_area_m2,120890,120890,0,0.0,8100.0,8100.0,0.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,ok
event,EVT_2020_FLOOD,elevation,120890,120890,0,0.0,62.959188992599074,32.7185173034668,85.23731527790147,1.0536327362060547,2.9617845749855043,7.4803709268569945,16.51043701171875,67.35514450073242,245.6786460876462,442.5039398193359,745.36572265625,ok
event,EVT_2020_FLOOD,mean_elevation,120890,120890,0,0.0,62.12335502757657,35.242339658343056,79.23255695192935,2.063030007456945,4.692494464058522,8.639839690086253,18.44149414961003,66.88621679416372,226.27128913816318,420.1222990657082,605.1726830852917,ok
event,EVT_2020_FLOOD,relative_elev,120890,120890,0,0.0,0.8358339650225084,-1.3647665662214017,17.401611770410426,-75.00012030483276,-34.92844926250869,-19.826981410507315,-5.6516666097089265,2.8136198954148055,30.985367289456516,69.28430674403172,257.260004185448,ok
event,EVT_2020_FLOOD,relative_low,120890,120890,0,0.0,4.42653424235008,1.3647665662214017,7.366130759950654,0.0,0.0,0.0,0.0,5.6516666097089265,19.826981410507283,34.92844926250869,75.00012030483276,ok
event,EVT_2020_FLOOD,relative_high,120890,120890,0,0.0,5.262368207372588,0.0,14.211534692798555,0.0,0.0,0.0,0.0,2.8136198954148055,30.985367289456516,69.28430674403172,257.260004185448,ok
event,EVT_2020_FLOOD,slope,120890,120890,0,0.0,4.925431961070152,2.5681005710029625,5.98484819309511,3.92996643071874e-05,0.021945367964507714,0.13953598699492553,0.8334983009605559,6.962184431856162,17.283522251578045,24.62542186227601,70.01101725716684,ok
event,EVT_2020_FLOOD,aspect,120890,120890,0,0.0,183.17454296333057,182.48427853608166,102.40879854337699,0.0020003239677635065,3.292067360772381,17.464327786143624,99.56040438358471,269.7017215826375,343.6818610490121,356.7154905828276,359.9990195982158,ok
event,EVT_2020_FLOOD,curvature,120890,120890,0,0.0,-5.507666869387243e-05,5.174129097550003e-05,0.0011892861953783829,-0.0320848971237371,-0.0036279112686345605,-0.0016408197791488084,-0.00015801700544945983,0.00030614767545535245,0.0011271123238551749,0.0020985792489699386,0.006502770317925347,ok
event,EVT_2020_FLOOD,flow_accumulation,120890,0,120890,1.0,,,,,,,,,,,,all_missing
event,EVT_2020_FLOOD,distance_to_stream,120890,120890,0,0.0,509.19655149121024,393.2348825051281,460.83283817903725,0.0,0.0,2.806288162504811,160.4864181005857,730.5310195534673,1405.088076034591,2118.6345471576433,3188.6219423539483,ok
